DMA,2024 Females Age 15-19,2024 Females Age 20-24,2024 Females Age 25-29,Total Female GenZ,Age_15_19_Percentage,Age_20_24_Percentage,Age_25_29_Percentage
Abilene-Sweetwater,9059,9063,7469,25591,35.399163768512366,35.4147942636083,29.186041967879333
"Albany, GA",14200,13433,12218,39851,35.63273192642594,33.70806253293519,30.65920554063888
Albany-Schenectady-Troy,41496,43067,38847,123410,33.624503686897334,34.897496151041246,31.47800016206142
Albuquerque-Santa Fe,57998,57173,53967,169138,34.290342797006,33.80257541179392,31.90708179120009
"Alexandria, LA",6325,6502,6117,18944,33.387880067567565,34.32221283783784,32.2899070945946
Alpena,304,254,272,830,36.626506024096386,30.602409638554217,32.7710843373494
Amarillo,19322,18867,16680,54869,35.2147843044342,34.385536459567334,30.399679235998466
Anchorage,13620,14260,14393,42273,32.21914697324533,33.73311570032882,34.04773732642585
Atlanta,250269,270390,260904,781563,32.02160286502816,34.596059434748064,33.38233770022378
Augusta-Aiken,23637,23284,22981,69902,33.8144831335298,33.309490429458386,32.87602643701182
Austin,94363,108312,106284,308959,30.54224023252276,35.05707877096961,34.400680996507624
Bakersfield,32386,29396,27214,88996,36.39039956851993,33.03069800889928,30.57890242258079
Baltimore,89677,94639,95493,279809,32.04936224353041,33.82271478043952,34.12792297603008
Bangor,9873,9964,8324,28161,35.05912432086929,35.38226625474948,29.55860942438124
Baton Rouge,30973,33138,29518,93629,33.08056264618868,35.39288041098378,31.526556942827543
Beaumont-Port Arthur,14104,13203,13379,40686,34.66548689967065,32.45096593422799,32.883547166101366
"Bend, OR",2710,2494,2409,7613,35.597005122816235,32.7597530539866,31.64324182319716
Billings,9030,8416,8141,25587,35.29135889318795,32.891702817837185,31.81693828897487
Biloxi-Gulfport,10738,10294,10455,31487,34.10296312763998,32.692857369708136,33.20417950265189
Binghamton,13746,16553,10085,40384,34.038232963549916,40.98900554675119,24.97276148969889
Birmingham (Ann and Tusc),70613,75464,65322,211399,33.402712406397384,35.697425247990765,30.89986234561185
Bismarck-Mnt-Dcknsn(Wlstn),13441,12979,13375,39795,33.77559994974243,32.61465008166855,33.60974996858902
Bluefield-Beckley-Oak Hill,8335,7649,7253,23237,35.8695184404183,32.917330120067135,31.21315143951457
Boise,32896,30808,29396,93100,35.33404940923738,33.091299677765846,31.574650912996777
Boston (Manchester),200579,238065,237338,675982,29.67223979336728,35.21765372450746,35.11010648212526
Bowling Green,7036,7644,5663,20343,34.58683576660276,37.57557882318242,27.837585410214814
Buffalo,48429,51336,48467,148232,32.67108316692752,34.63219817583248,32.696718657240005
Burlington-Plattsburgh,27368,29251,23230,79849,34.274693483950955,36.63289458853586,29.09241192751318
Butte-Bozeman,8245,9914,8367,26526,31.082711302118675,37.37465128553118,31.54263741235015
Casper-Riverton,3316,3016,2644,8976,36.94295900178253,33.60071301247772,29.45632798573975
Cedar Rapids-Wtrlo-IWC&Dub,32730,39184,29197,101111,32.37036524215961,38.753449179614485,28.87618557822591
Champaign&Sprngfld-Decatur,30949,35071,26646,92666,33.398441715408026,37.846675155936374,28.7548831286556
"Charleston, SC",29879,31008,32120,93007,32.125538937929406,33.33942606470481,34.535034997365784
Charleston-Huntington,29953,29030,26630,85613,34.98650905820378,33.90840176141474,31.105089180381484
Charlotte,120127,120135,114457,354719,33.86539768098128,33.867652987294164,32.26694933172455
Charlottesville,8015,9871,6935,24821,32.29120502800048,39.7687442085331,27.940050763466417
Chattanooga,31940,33868,32470,98278,32.49964386739657,34.4614257514398,33.03893038116364
Cheyenne-Scottsbluff,3903,3872,3779,11554,33.78050891466159,33.51220356586463,32.70728751947377
Chicago,293712,309094,327633,930439,31.567034485871726,33.220232599880276,35.21273291424801
Chico-Redding,13786,15469,12639,41894,32.90686017090753,36.924141881892396,30.168997947200076
Cincinnati,87360,89594,80387,257341,33.94717514892691,34.8152840006062,31.23754085046689
Clarksburg-Weston,5393,5266,4603,15262,35.33612894771328,34.503996854933824,30.159874197352902
Cleveland-Akron (Canton),114404,121153,115622,351179,32.57711879127169,34.49893074471993,32.923950464008385
Colorado Springs-Pueblo,29751,32536,32961,95248,31.235301528641024,34.15924743826642,34.605451033092564
"Columbia, SC",39154,40098,34164,113416,34.52246596600127,35.35480002821471,30.122734005784018
Columbia-Jefferson City,22149,25395,18162,65706,33.70925029677655,38.64943840745138,27.641311295772077
"Columbus, GA (Opelika, AL)",22120,28080,22242,72442,30.534772645702766,38.76204411805306,30.70318323624417
"Columbus, OH",84983,100591,90381,275955,30.795963109927342,36.451957746734074,32.752079143338584
Columbus-Tupelo-West Point,15570,15671,13304,44545,34.9534178920193,35.18015489953979,29.866427208440903
Corpus Christi,19451,20067,17895,57413,33.879086618013346,34.952014352150215,31.16889902983645
Dallas-Ft. Worth,307332,311312,305985,924629,33.238412379451646,33.668855292230724,33.092732328317624
Davenport-R.Island-Moline,20430,19546,17461,57437,35.56940648014346,34.030328882079495,30.400264637777042
Dayton,34452,35228,32503,102183,33.715980153254456,34.47540197488819,31.808617871857354
Denver,151750,163786,168003,483539,31.383197632455705,33.87234535373569,34.744457013808606
Des Moines-Ames,40578,41505,35745,117828,34.43833384255016,35.225073836439556,30.336592321010286
Detroit,149130,163407,161452,473989,31.462755464789264,34.47485068218883,34.0623938530219
Dothan,8331,8516,8360,25207,33.050343158646406,33.784266275241,33.16539056611259
Duluth-Superior,11594,12795,10113,34502,33.60384905222886,37.08480667787374,29.3113442698974
El Paso (Las Cruces),40215,42204,39573,121992,32.96527641156797,34.595711194176666,32.439012394255364
Elmira (Corning),6376,5787,5319,17482,36.47179956526713,33.102619837547195,30.425580597185675
Erie,12224,13006,10715,35945,34.007511475865904,36.183057448880234,29.809431075253862
Eugene,21239,30340,20680,72259,29.392878395770772,41.98784926445149,28.619272339777744
Eureka,4759,5602,5081,15442,30.818546820360055,36.27768423779303,32.90376894184691
Evansville,22741,21555,19970,64266,35.38574051598046,33.54028568761087,31.073973796408676
Fairbanks,2791,3574,3638,10003,27.90162951114666,35.72928121563531,36.36908927321804
Fargo,20540,22878,20744,64162,32.01271780804838,35.6566191826938,32.33066300925781
Flint-Saginaw-Bay City,32018,31511,28279,91808,34.874956430812134,34.3227169745556,30.802326594632273
Fresno-Visalia,80377,76166,68097,224640,35.780359686609685,33.90580484330484,30.313835470085472
Ft. Myers-Naples,35509,35285,32520,103314,34.36997889927793,34.15316414038755,31.476856960334516
Ft. Smith-Fay-Sprngdl-Rgrs,34174,36316,31428,101918,33.530877764477324,35.63256735807217,30.8365548774505
Ft. Wayne,29641,28050,27550,85241,34.7731725343438,32.906699827547776,32.32012763810842
Gainesville,14612,22303,12336,49251,29.668433128261356,45.28435970843231,25.04720716330633
Glendive,303,254,237,794,38.16120906801007,31.98992443324937,29.848866498740556
Grand Junction-Montrose,6120,5676,5289,17085,35.82089552238806,33.22212467076383,30.95697980684811
Grand Rapids-Kalmzoo-B.Crk,68770,73714,65432,207916,33.075857557859905,35.45374093383867,31.470401508301432
Great Falls,5040,5071,4704,14815,34.01957475531556,34.228822139723256,31.75160310496119
Green Bay-Appleton,34791,35638,31117,101546,34.26131999290962,35.095424733618266,30.64325527347212
Greensboro-H.Point-W.Salem,64035,66724,55720,186479,34.338987231806264,35.78097265643853,29.880040111755214
Greenville-N.Bern-Washngtn,26585,28958,26327,81870,32.47221204348357,35.37070966165873,32.1570782948577
Greenvll-Spart-Ashevll-And,74646,74197,67955,216798,34.43112943846345,34.22402420686538,31.34484635467117
Greenwood-Greenville,6090,5170,5024,16284,37.39867354458364,31.748956030459347,30.852370424957016
Harlingen-Wslco-Brnsvl-Mca,60060,56154,47556,163770,36.673383403553764,34.28833119618978,29.03828540025646
Harrisburg-Lncstr-Leb-York,63056,62010,57671,182737,34.5064217974466,33.93401445793682,31.559563744616582
Harrisonburg,10746,11941,7235,29922,35.91337477441348,39.90709177194038,24.179533453646147
Hartford & New Haven,82701,87585,78604,248890,33.22793201816063,35.19024468640765,31.581823295431715
Hattiesburg-Laurel,11960,12606,10315,34881,34.288007797941574,36.14001892147588,29.571973280582554
Helena,1135,912,777,2824,40.19121813031161,32.29461756373937,27.514164305949006
Honolulu,38055,41995,42217,122267,31.124506203636304,34.34696197665764,34.52853181970605
Houston,276820,273572,266955,817347,33.86811231949221,33.47072907834738,32.661158602160405
Huntsville-Decatur (Flor),29946,30515,28088,88549,33.81856373307434,34.46114580627675,31.720290460648908
Idaho Fals-Pocatllo(Jcksn),17954,21427,13812,53193,33.752561427255465,40.281616002105544,25.96582257063899
Indianapolis,109248,116341,101824,327413,33.36703185273645,35.5334088750294,31.09955927223415
"Jackson, MS",26896,25721,24607,77224,34.828550709623954,33.307003004247385,31.86444628612867
"Jackson, TN",9109,9309,7896,26314,34.61655392566694,35.376605609181425,30.00684046515163
Jacksonville,62974,63475,64230,190679,33.02618536912822,33.288930611131796,33.68488401973998
Johnstown-Altoona-St Colge,19277,28599,17250,65126,29.59954549642232,43.913337223228815,26.48711728034886
Jonesboro,7316,7624,7172,22112,33.08610709117221,34.479015918958034,32.43487698986976
Joplin-Pittsburg,15658,14729,12880,43267,36.18924353433333,34.04211061548062,29.768645850186054
Juneau,1598,1652,1598,4848,32.96204620462046,34.07590759075907,32.96204620462046
Kansas City,81240,83533,82352,247125,32.874051593323216,33.801922104198276,33.3240263024785
Knoxville,45221,46081,41888,133190,33.95224866731736,34.59794278849764,31.449808544184997
La Crosse-Eau Claire,15249,17485,11744,44478,34.28436530419533,39.31156976482755,26.40406493097711
"Lafayette, IN",5041,4738,4389,14168,35.58018068887634,33.44155844155844,30.978260869565215
