DMA,Total Population,Total Female GenZ,City_Size,Real_GenZ_Percentage,Index_vs_National
Abilene-Sweetwater,261606,25591,Medium (100K-500K),9.782267990795319,101.84488540387713
"Albany, GA",413757,39851,Medium (100K-500K),9.631498681593301,100.27520002697376
Albany-Schenectady-Troy,1365285,123410,Very Large (1M-2M),9.039138348403448,94.10803405807066
Albuquerque-Santa Fe,1830777,169138,Very Large (1M-2M),9.238591046315307,96.18457062213139
"Alexandria, LA",205436,18944,Medium (100K-500K),9.221363344301874,96.00521003428192
Alpena,12907,830,Small (<100K),6.43061904392965,66.95028803353794
Amarillo,551300,54869,Large (500K-1M),9.95265735534192,103.618838573287
Anchorage,455973,42273,Medium (100K-500K),9.270943674296504,96.52139943241953
Atlanta,7616406,781563,Metropolitan (>2M),10.261572190348046,106.83500439499218
Augusta-Aiken,757713,69902,Large (500K-1M),9.225392727853423,96.04716064394032
Austin,2913456,308959,Metropolitan (>2M),10.604553492484527,110.40584210304014
Bakersfield,844849,88996,Large (500K-1M),10.533953404691253,109.6708123678524
Baltimore,2993193,279809,Metropolitan (>2M),9.348177681826732,97.32549605434806
Bangor,342746,28161,Medium (100K-500K),8.216288446838185,85.54120129409806
Baton Rouge,921770,93629,Large (500K-1M),10.157523026351475,105.75173053727625
Beaumont-Port Arthur,462311,40686,Medium (100K-500K),8.800569313730367,91.62425054078653
"Bend, OR",98959,7613,Small (<100K),7.693085015006215,80.09403979658218
Billings,297275,25587,Medium (100K-500K),8.607181902279034,89.61086072399293
Biloxi-Gulfport,343697,31487,Medium (100K-500K),9.161267046264587,95.37953707249393
Binghamton,382316,40384,Medium (100K-500K),10.56298977808933,109.97311507761806
Birmingham (Ann and Tusc),2097879,211399,Metropolitan (>2M),10.076796612197366,104.9112738654362
Bismarck-Mnt-Dcknsn(Wlstn),443676,39795,Medium (100K-500K),8.969383063316474,93.38179971009713
Bluefield-Beckley-Oak Hill,297004,23237,Medium (100K-500K),7.823800352857201,81.45493980632321
Boise,971390,93100,Large (500K-1M),9.584204078691359,99.78280772926709
Boston (Manchester),6982093,675982,Metropolitan (>2M),9.681652765152226,100.79736287278843
Bowling Green,180789,20343,Medium (100K-500K),11.252343892604086,117.15010009392599
Buffalo,1614431,148232,Very Large (1M-2M),9.181686922513258,95.59213193888525
Burlington-Plattsburgh,896009,79849,Large (500K-1M),8.911629235867052,92.78051461509091
Butte-Bozeman,254487,26526,Medium (100K-500K),10.423322212922468,108.51901187962328
Casper-Riverton,98222,8976,Small (<100K),9.138482213760666,95.14232023714531
Cedar Rapids-Wtrlo-IWC&Dub,970260,101111,Large (500K-1M),10.421021169583412,108.49505531910009
Champaign&Sprngfld-Decatur,905938,92666,Large (500K-1M),10.228735299766651,106.4931338429455
"Charleston, SC",1044119,93007,Very Large (1M-2M),8.907701133683037,92.73961846328213
Charleston-Huntington,1024601,85613,Very Large (1M-2M),8.355740429689215,86.99306002728451
Charlotte,3716074,354719,Metropolitan (>2M),9.545531116979909,99.38017683043697
Charlottesville,208199,24821,Medium (100K-500K),11.921767155461842,124.11958156351868
Chattanooga,1071501,98278,Very Large (1M-2M),9.171993306585808,95.49121002545891
Cheyenne-Scottsbluff,130012,11554,Medium (100K-500K),8.886871981047904,92.52276254958389
Chicago,9605182,930439,Metropolitan (>2M),9.686844038978126,100.85141012322119
Chico-Redding,440720,41894,Medium (100K-500K),9.505808676710837,98.96661962867427
Cincinnati,2696521,257341,Metropolitan (>2M),9.543445053830473,99.35845846588188
Clarksburg-Weston,189365,15262,Medium (100K-500K),8.059567501914293,83.9095524074411
Cleveland-Akron (Canton),3917055,351179,Metropolitan (>2M),8.965383432195871,93.34015885814757
Colorado Springs-Pueblo,999740,95248,Large (500K-1M),9.527277092043931,99.19013101698006
"Columbia, SC",1113997,113416,Very Large (1M-2M),10.180996896760044,105.9961210655255
Columbia-Jefferson City,619346,65706,Large (500K-1M),10.608932648309668,110.45143425238595
"Columbus, GA (Opelika, AL)",662947,72442,Large (500K-1M),10.927268695687589,113.76568594694535
"Columbus, OH",2725245,275955,Metropolitan (>2M),10.12587859073221,105.42227484025926
Columbus-Tupelo-West Point,443426,44545,Medium (100K-500K),10.0456445945885,104.58694481756513
Corpus Christi,588687,57413,Large (500K-1M),9.752720885631923,101.53726537729293
Dallas-Ft. Worth,9042742,924629,Metropolitan (>2M),10.225095441183658,106.45523864516313
Davenport-R.Island-Moline,667021,57437,Large (500K-1M),8.610973267708214,89.6503332857774
Dayton,1096048,102183,Very Large (1M-2M),9.322858123001913,97.06188974450082
Denver,4954077,483539,Metropolitan (>2M),9.760425605011791,101.61748054447604
Des Moines-Ames,1183381,117828,Very Large (1M-2M),9.956894694101054,103.6629542406095
Detroit,5122203,473989,Metropolitan (>2M),9.253616071053802,96.3409987555788
Dothan,281380,25207,Medium (100K-500K),8.958348141303576,93.26691322682946
Duluth-Superior,404570,34502,Medium (100K-500K),8.528066836394196,88.78718007791542
El Paso (Las Cruces),1104284,121992,Very Large (1M-2M),11.047158158589639,115.01387589858855
Elmira (Corning),213182,17482,Medium (100K-500K),8.200504733045005,85.37687431757006
Erie,388040,35945,Medium (100K-500K),9.263220286568394,96.4409899058313
Eugene,709179,72259,Large (500K-1M),10.189105994396337,106.08054628473582
Eureka,161455,15442,Medium (100K-500K),9.564274875352265,99.57532134347491
Evansville,725970,64266,Large (500K-1M),8.852431918674325,92.164201098493
Fairbanks,101638,10003,Medium (100K-500K),9.841791455951514,102.46459450338028
Fargo,643401,64162,Large (500K-1M),9.972318973703802,103.82353908556132
Flint-Saginaw-Bay City,1032614,91808,Very Large (1M-2M),8.890834329187868,92.56401524196816
Fresno-Visalia,2108123,224640,Metropolitan (>2M),10.655924725454824,110.94067690207025
Ft. Myers-Naples,1462505,103314,Very Large (1M-2M),7.064180977159053,73.54641099262295
Ft. Smith-Fay-Sprngdl-Rgrs,975087,101918,Large (500K-1M),10.452195547679336,108.81961716587263
Ft. Wayne,918406,85241,Large (500K-1M),9.281407133664196,96.63033631916537
Gainesville,328087,49251,Medium (100K-500K),15.011567053860714,156.2880231630991
Glendive,9544,794,Small (<100K),8.319362950544845,86.61432779481794
Grand Junction-Montrose,189805,17085,Medium (100K-500K),9.001343484102104,93.7145451833795
Grand Rapids-Kalmzoo-B.Crk,2101484,207916,Metropolitan (>2M),9.893770307078237,103.00575532021821
Great Falls,172967,14815,Medium (100K-500K),8.565217642671724,89.17396355303148
Green Bay-Appleton,1171465,101546,Very Large (1M-2M),8.66829141288899,90.24708241726633
Greensboro-H.Point-W.Salem,1894927,186479,Very Large (1M-2M),9.840959572585119,102.45593362165025
Greenville-N.Bern-Washngtn,856648,81870,Large (500K-1M),9.557017584818968,99.49976443546528
Greenvll-Spart-Ashevll-And,2368415,216798,Metropolitan (>2M),9.153716726164966,95.30092938294462
Greenwood-Greenville,176225,16284,Medium (100K-500K),9.2404596396652,96.20402487095849
Harlingen-Wslco-Brnsvl-Mca,1415503,163770,Very Large (1M-2M),11.569738813693789,120.45455355978582
Harrisburg-Lncstr-Leb-York,2074166,182737,Metropolitan (>2M),8.810143450427786,91.72392853526667
Harrisonburg,256443,29922,Medium (100K-500K),11.668089984908928,121.47850462830777
Hartford & New Haven,2652515,248890,Metropolitan (>2M),9.383170311949225,97.68981038392471
Hattiesburg-Laurel,322396,34881,Medium (100K-500K),10.819302969019466,112.64163607728244
Helena,39739,2824,Small (<100K),7.106369058104129,73.9856384062763
Honolulu,1417614,122267,Very Large (1M-2M),8.624844280601067,89.79474680213553
Houston,8020787,817347,Metropolitan (>2M),10.190359125607001,106.0935928506923
Huntsville-Decatur (Flor),933298,88549,Large (500K-1M),9.48775203632709,98.77862881995874
Idaho Fals-Pocatllo(Jcksn),444441,53193,Medium (100K-500K),11.96851775601261,124.60631015857817
Indianapolis,3211430,327413,Metropolitan (>2M),10.195240126672541,106.14440979770745
"Jackson, MS",800747,77224,Large (500K-1M),9.64399491974369,100.40530052550882
"Jackson, TN",294706,26314,Medium (100K-500K),8.92889863117819,92.96030927908009
Jacksonville,2111025,190679,Metropolitan (>2M),9.032531590104332,94.03924995376094
Johnstown-Altoona-St Colge,653641,65126,Large (500K-1M),9.963573276462157,103.73248611766161
Jonesboro,212841,22112,Medium (100K-500K),10.388975808232438,108.16142551488835
Joplin-Pittsburg,456805,43267,Medium (100K-500K),9.47165639605521,98.6110543228652
Juneau,55658,4848,Small (<100K),8.710338136476338,90.68483813499878
Kansas City,2564314,247125,Metropolitan (>2M),9.637080326356289,100.3333114968074
Knoxville,1503459,133190,Very Large (1M-2M),8.858904699097216,92.23159033594122
La Crosse-Eau Claire,458750,44478,Medium (100K-500K),9.695476839237058,100.94128770109091
"Lafayette, IN",120544,14168,Medium (100K-500K),11.753384656225114,122.36652221624671
"Lafayette, LA",720861,66799,Large (500K-1M),9.266557630389215,96.4757355700581
Lake Charles,235584,22296,Medium (100K-500K),9.464140179299104,98.53280168912868
Lansing,658069,73145,Large (500K-1M),11.115095833415644,115.72118679149916
Laredo,286005,34169,Medium (100K-500K),11.946993933672488,124.38222191833104
Las Vegas,2429777,227686,Metropolitan (>2M),9.37065417937531,97.55950276110251
Lexington,1233795,122698,Very Large (1M-2M),9.944763919451773,103.53665864584775
Lima,101646,8818,Medium (100K-500K),8.675206107471027,90.3190724995226
Lincoln & Hastings-Krny,742358,74122,Large (500K-1M),9.984670468965108,103.95213264082253
Little Rock-Pine Bluff,1432694,135224,Very Large (1M-2M),9.438442542510822,98.26525914415694
Los Angeles,18151504,1844169,Metropolitan (>2M),10.159868846129775,105.77615327305938
Louisville,1895697,171889,Very Large (1M-2M),9.067324577714688,94.40148577058474
Lubbock,472532,55703,Medium (100K-500K),11.788196354955854,122.72895283778382
Macon,767220,72304,Large (500K-1M),9.424154740491646,98.1165063640567
Madison,1037872,105775,Very Large (1M-2M),10.191526508085776,106.10574667175766
Mankato,109697,13592,Medium (100K-500K),12.390493814780715,128.9995759522424
Marquette,212187,17933,Medium (100K-500K),8.451507396777371,87.99010649930385
Medford-Klamath Falls,478393,36531,Medium (100K-500K),7.636190328871868,79.50169937052819
Memphis,1821175,179650,Very Large (1M-2M),9.864510549507873,102.70112691916613
Meridian,144476,13740,Medium (100K-500K),9.510230072814863,99.01265154887554
Miami-Ft. Lauderdale,4791859,426731,Metropolitan (>2M),8.905332982460461,92.71496323096696
Milwaukee,2411104,226801,Metropolitan (>2M),9.40652083029185,97.93291667246264
Minneapolis-St. Paul,5166592,482447,Metropolitan (>2M),9.337818817510653,97.21764812479043
Missoula,342271,29230,Medium (100K-500K),8.540016536604037,88.91159047534342
Mobile-Pensacola (Ft Walt),1549864,139732,Very Large (1M-2M),9.015758802062633,93.8646255540187
Monroe-El Dorado,437113,44105,Medium (100K-500K),10.090068243223147,105.04944711342073
Monterey-Salinas,624223,64657,Large (500K-1M),10.357997061947414,107.83890042476376
Montgomery-Selma,539192,53504,Large (500K-1M),9.922995890146739,103.31002792461565
Myrtle Beach-Florence,709316,61482,Large (500K-1M),8.667786994794985,90.24183083317274
Nashville,3191224,319460,Metropolitan (>2M),10.010579012942996,104.2218709770542
New Orleans,1801181,173525,Very Large (1M-2M),9.633956831656564,100.30079225279852
New York,22164623,2117855,Metropolitan (>2M),9.555114021113736,99.47994610421522
Norfolk-Portsmth-Newpt Nws,2028761,194861,Metropolitan (>2M),9.604926356529923,99.99855095095778
North Platte,34008,2869,Small (<100K),8.436250294048458,87.83126216172454
Odessa-Midland,488456,47150,Medium (100K-500K),9.652865355323714,100.49765216584213
Oklahoma City,2035395,211150,Metropolitan (>2M),10.373907767288413,108.00454953227889
Omaha,1212981,115618,Very Large (1M-2M),9.531723909937584,99.23642760783375
Orlando-Daytona Bch-Melbrn,4926980,444291,Metropolitan (>2M),9.017511741472465,93.88287570965564
Ottumwa-Kirksville,141124,14061,Medium (100K-500K),9.963578129871602,103.73253664734747
Paducah-Cape Girard-Harsbg,960295,86790,Large (500K-1M),9.03784774470345,94.09459735954105
