DMA,Total Population,Total Female GenZ,GenZ Female %,Real_GenZ_Percentage,Index_vs_National
Gainesville,328087,49251,0.12318427508333334,15.011567053860714,156.2880231630991
Waco-Temple-Bryan,1184360,146847,0.09450426334408601,12.398848323144989,129.08655618502337
Mankato,109697,13592,0.08138533805,12.390493814780715,128.9995759522424
Idaho Fals-Pocatllo(Jcksn),444441,53193,0.08763391412328767,11.96851775601261,124.60631015857817
Laredo,286005,34169,0.1093510365,11.946993933672488,124.38222191833104
Charlottesville,208199,24821,0.09325122594444445,11.921767155461842,124.11958156351868
Lubbock,472532,55703,0.09714495135820896,11.788196354955854,122.72895283778382
"Lafayette, IN",120544,14168,0.13226549245454547,11.753384656225114,122.36652221624671
Tallahassee-Thomasville,757429,88524,0.10332333528571429,11.687432089344348,121.67987862578451
Harrisonburg,256443,29922,0.08697167323404255,11.668089984908928,121.47850462830777
Harlingen-Wslco-Brnsvl-Mca,1415503,163770,0.10930998804761904,11.569738813693789,120.45455355978582
Salt Lake City,3619385,412570,0.10351246929151292,11.398897879059563,118.67589901602503
Topeka,526681,59402,0.08073386035294117,11.278553811510193,117.4229760967046
Santabarbra-Sanmar-Sanluob,702245,79190,0.11296629894594595,11.276691183276492,117.40358395173476
Bowling Green,180789,20343,0.08465488051851852,11.252343892604086,117.15010009392599
Lansing,658069,73145,0.1042634436,11.115095833415644,115.72118679149916
El Paso (Las Cruces),1104284,121992,0.11353305387755103,11.047158158589639,115.01387589858855
Springfield-Holyoke,668812,73307,0.09490721884415584,10.960778215701872,114.11455936045283
"Columbus, GA (Opelika, AL)",662947,72442,0.09166741618749999,10.927268695687589,113.76568594694535
Hattiesburg-Laurel,322396,34881,0.0915845622,10.819302969019466,112.64163607728244
Syracuse,949880,102562,0.09314540427272727,10.797363877542427,112.41322439816604
Fresno-Visalia,2108123,224640,0.09933218795726495,10.655924725454824,110.94067690207025
Columbia-Jefferson City,619346,65706,0.08343104596875,10.608932648309668,110.45143425238595
Austin,2913456,308959,0.092854153024,10.604553492484527,110.40584210304014
Binghamton,382316,40384,0.07754524881521739,10.56298977808933,109.97311507761806
Bakersfield,844849,88996,0.0905276752972973,10.533953404691253,109.6708123678524
Ft. Smith-Fay-Sprngdl-Rgrs,975087,101918,0.08551994478947368,10.452195547679336,108.81961716587263
Butte-Bozeman,254487,26526,0.06979568551351352,10.423322212922468,108.51901187962328
Cedar Rapids-Wtrlo-IWC&Dub,970260,101111,0.08245591334599156,10.421021169583412,108.49505531910009
Jonesboro,212841,22112,0.08365238002631578,10.388975808232438,108.16142551488835
Oklahoma City,2035395,211150,0.08971613760350877,10.373907767288413,108.00454953227889
Savannah,1046581,108438,0.09059873029473685,10.36116650311825,107.87189802543693
