DMA,Total Population,Total Female GenZ,Zip,Real_GenZ_Percentage,Index_vs_National,ZIP_Density,Market_Category
Abilene-Sweetwater,261606,25591,70,9.782267990795319,101.84488540387713,26.757796075013573,Below Average Potential
"Albany, GA",413757,39851,60,9.631498681593301,100.27520002697376,14.501265235391788,Below Average Potential
Albany-Schenectady-Troy,1365285,123410,258,9.039138348403448,94.10803405807066,18.897153341609993,Below Average Potential
Albuquerque-Santa Fe,1830777,169138,228,9.238591046315307,96.18457062213139,12.45372866274811,Below Average Potential
"Alexandria, LA",205436,18944,31,9.221363344301874,96.00521003428192,15.089857668568312,Below Average Potential
Alpena,12907,830,9,6.43061904392965,66.95028803353794,69.72960409080343,Below Average Potential
Amarillo,551300,54869,126,9.95265735534192,103.618838573287,22.855069834935605,Below Average Potential
Anchorage,455973,42273,32,9.270943674296504,96.52139943241953,7.017959396718665,Below Average Potential
Atlanta,7616406,781563,311,10.261572190348046,106.83500439499218,4.08329072793651,Standard Potential - Major Market
Augusta-Aiken,757713,69902,73,9.225392727853423,96.04716064394032,9.63425465842608,Below Average Potential
Austin,2913456,308959,125,10.604553492484527,110.40584210304014,4.290437198982926,Medium-High Potential - Large Market
Bakersfield,844849,88996,37,10.533953404691253,109.6708123678524,4.37948083030222,Below Average Potential
Baltimore,2993193,279809,183,9.348177681826732,97.32549605434806,6.113872376422102,Below Average Potential
Bangor,342746,28161,154,8.216288446838185,85.54120129409806,44.931231874332596,Below Average Potential
Baton Rouge,921770,93629,91,10.157523026351475,105.75173053727625,9.872310880154485,Below Average Potential
Beaumont-Port Arthur,462311,40686,41,8.800569313730367,91.62425054078653,8.86848896089429,Below Average Potential
"Bend, OR",98959,7613,3,7.693085015006215,80.09403979658218,3.0315585242373104,Below Average Potential
Billings,297275,25587,94,8.607181902279034,89.61086072399293,31.620553359683797,Below Average Potential
Biloxi-Gulfport,343697,31487,17,9.161267046264587,95.37953707249393,4.946217162209737,Below Average Potential
Binghamton,382316,40384,92,10.56298977808933,109.97311507761806,24.06386340095628,Below Average Potential
Birmingham (Ann and Tusc),2097879,211399,227,10.076796612197366,104.9112738654362,10.82045246651499,Standard Potential - Major Market
Bismarck-Mnt-Dcknsn(Wlstn),443676,39795,239,8.969383063316474,93.38179971009713,53.86813801062036,Below Average Potential
Bluefield-Beckley-Oak Hill,297004,23237,154,7.823800352857201,81.45493980632321,51.85115351981791,Below Average Potential
Boise,971390,93100,73,9.584204078691359,99.78280772926709,7.515004272228456,Below Average Potential
Boston (Manchester),6982093,675982,501,9.681652765152226,100.79736287278843,7.175498808165403,Standard Potential - Major Market
Bowling Green,180789,20343,27,11.252343892604086,117.15010009392599,14.93453694638501,Medium-High Potential - Niche Market
Buffalo,1614431,148232,220,9.181686922513258,95.59213193888525,13.627092145777677,Below Average Potential
Burlington-Plattsburgh,896009,79849,345,8.911629235867052,92.78051461509091,38.50407752600699,Below Average Potential
Butte-Bozeman,254487,26526,37,10.423322212922468,108.51901187962328,14.539053075402673,Below Average Potential
Casper-Riverton,98222,8976,23,9.138482213760666,95.14232023714531,23.416342570910793,Below Average Potential
Cedar Rapids-Wtrlo-IWC&Dub,970260,101111,237,10.421021169583412,108.49505531910009,24.426442396883306,Below Average Potential
Champaign&Sprngfld-Decatur,905938,92666,212,10.228735299766651,106.4931338429455,23.401159902774804,Below Average Potential
"Charleston, SC",1044119,93007,71,8.907701133683037,92.73961846328213,6.799991188743811,Below Average Potential
Charleston-Huntington,1024601,85613,364,8.355740429689215,86.99306002728451,35.526024276767245,Below Average Potential
Charlotte,3716074,354719,193,9.545531116979909,99.38017683043697,5.193653301844904,Below Average Potential
Charlottesville,208199,24821,36,11.921767155461842,124.11958156351868,17.291149333089976,High Potential - Large Market
Chattanooga,1071501,98278,110,9.171993306585808,95.49121002545891,10.265972686913031,Below Average Potential
Cheyenne-Scottsbluff,130012,11554,23,8.886871981047904,92.52276254958389,17.69067470695013,Below Average Potential
Chicago,9605182,930439,411,9.686844038978126,100.85141012322119,4.278940263703489,Standard Potential - Major Market
Chico-Redding,440720,41894,62,9.505808676710837,98.96661962867427,14.067888909057906,Below Average Potential
Cincinnati,2696521,257341,202,9.543445053830473,99.35845846588188,7.491133946295986,Below Average Potential
Clarksburg-Weston,189365,15262,80,8.059567501914293,83.9095524074411,42.246455258363476,Below Average Potential
Cleveland-Akron (Canton),3917055,351179,279,8.965383432195871,93.34015885814757,7.1226980473850885,Below Average Potential
Colorado Springs-Pueblo,999740,95248,85,9.527277092043931,99.19013101698006,8.502210574749435,Below Average Potential
"Columbia, SC",1113997,113416,81,10.180996896760044,105.9961210655255,7.271114733702156,Standard Potential - Major Market
Columbia-Jefferson City,619346,65706,128,10.608932648309668,110.45143425238595,20.666961601431186,Medium-High Potential - Large Market
